Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
6S1_S1_run1_L001_R1_001	5.27705764913	301.0	5135810.0	54.5454545455	47.0
6S1_S1_run1_L001_R2_001	4.21518109825	301.0	5135810.0	45.4545454545	47.0
6S1_S1_run2_L001_R1_001	5.0582123855	301.0	4701433.0	36.3636363636	46.0
6S1_S1_run2_L001_R2_001	4.33862112237	301.0	4701433.0	45.4545454545	46.0
6S2_S2_run1_L001_R1_001	1.32337993966	301.0	5633751.0	45.4545454545	50.0
6S2_S2_run1_L001_R2_001	1.00322641157	301.0	5633751.0	45.4545454545	50.0
6S2_S2_run2_L001_R1_001	2.16388747544	301.0	9586516.0	27.2727272727	49.0
6S2_S2_run2_L001_R2_001	1.76984961981	301.0	9586516.0	45.4545454545	50.0
6S3_S3_run1_L001_R1_001	1.99685084502	301.0	6177792.0	45.4545454545	49.0
6S3_S3_run1_L001_R2_001	1.56360791575	301.0	6177792.0	45.4545454545	49.0
6S3_S3_run2_L001_R1_001	2.27624882978	301.0	6798648.0	27.2727272727	48.0
6S3_S3_run2_L001_R2_001	1.89345520127	301.0	6798648.0	45.4545454545	49.0
6S4_S4_run1_L001_R1_001	0.796134682436	301.0	3825956.0	27.2727272727	50.0
6S4_S4_run1_L001_R2_001	0.605402057222	301.0	3825956.0	36.3636363636	51.0
6S4_S4_run2_L001_R1_001	0.709786783715	301.0	3448119.0	27.2727272727	50.0
6S4_S4_run2_L001_R2_001	0.579636746492	301.0	3448119.0	36.3636363636	50.0
BL_S5_run1_L001_R1_001	9.56638601869	301.0	7056911.0	45.4545454545	48.0
BL_S5_run1_L001_R2_001	7.77503864614	301.0	7056911.0	45.4545454545	48.0
BL_S5_run2_L001_R1_001	8.9554029394	301.0	5803911.0	27.2727272727	47.0
BL_S5_run2_L001_R2_001	7.66982586951	301.0	5803911.0	36.3636363636	47.0
Site1-dep_S1_L001_R1_001	80.0392621343	75.1364580445	2149276.0	18.1818181818	51.0
Site1-dep_S1_L001_R2_001	71.9234683741	75.1664681502	2149276.0	18.1818181818	51.0
Site1_S4_L001_R1_001	84.648373511	74.878054817	4965723.0	27.2727272727	51.0
Site1_S4_L001_R2_001	75.1768054049	74.8088020617	4965723.0	18.1818181818	50.0
Site3-dep_S2_L001_R1_001	85.8812877654	74.4491012632	5480804.0	36.3636363636	52.0
Site3-dep_S2_L001_R2_001	80.1879151345	74.5470668172	5480804.0	18.1818181818	52.0
Site3_S5_L001_R1_001	87.4285288572	75.1773334325	7364494.0	36.3636363636	50.0
Site3_S5_L001_R2_001	78.8942008932	75.1217654601	7364494.0	18.1818181818	50.0
Site4-dep_S3_L001_R1_001	89.3332022491	74.6584747226	7425954.0	27.2727272727	51.0
Site4-dep_S3_L001_R2_001	83.7856528516	74.7946323126	7425954.0	18.1818181818	51.0
Site4_S6_L001_R1_001	84.9990283853	74.9955356273	4722948.0	27.2727272727	50.0
Site4_S6_L001_R2_001	77.2627640659	74.9393165032	4722948.0	18.1818181818	50.0
Undetermined_S0_L001_R1_001	55.5766722729	74.8193089502	312539.0	18.1818181818	49.0
Undetermined_S0_L001_R2_001	42.4871941215	74.8185570441	312539.0	18.1818181818	48.0
Undetermined_S0_run1_L001_R1_001	10.8509864618	301.0	1508353.0	45.4545454545	49.0
Undetermined_S0_run1_L001_R2_001	8.30233372467	301.0	1508353.0	36.3636363636	49.0
Undetermined_S0_run2_L001_R1_001	25.6627512588	301.0	808519.0	27.2727272727	48.0
Undetermined_S0_run2_L001_R2_001	21.4354123209	301.0	808519.0	36.3636363636	48.0
