Module	Section	Sample Name	Source
FastQC	all_sections	Site4_S6_L001_R2_001	/mnt/nvme0/jiacheng/CharlottetownWater/202002-test-water/Site4_S6_L001_R2_001_fastqc.zip
FastQC	all_sections	6S3_S3_run1_L001_R2_001	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/6S3_S3_run1_L001_R2_001_fastqc.zip
FastQC	all_sections	6S4_S4_run1_L001_R1_001	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/6S4_S4_run1_L001_R1_001_fastqc.zip
FastQC	all_sections	6S2_S2_run2_L001_R2_001	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/6S2_S2_run2_L001_R2_001_fastqc.zip
FastQC	all_sections	6S1_S1_run1_L001_R1_001	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/6S1_S1_run1_L001_R1_001_fastqc.zip
FastQC	all_sections	Undetermined_S0_L001_R2_001	/mnt/nvme0/jiacheng/CharlottetownWater/202002-test-water/Undetermined_S0_L001_R2_001_fastqc.zip
FastQC	all_sections	6S1_S1_run2_L001_R2_001	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/6S1_S1_run2_L001_R2_001_fastqc.zip
FastQC	all_sections	Undetermined_S0_run2_L001_R1_001	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/Undetermined_S0_run2_L001_R1_001_fastqc.zip
FastQC	all_sections	Site1_S4_L001_R2_001	/mnt/nvme0/jiacheng/CharlottetownWater/202002-test-water/Site1_S4_L001_R2_001_fastqc.zip
FastQC	all_sections	Site1-dep_S1_L001_R2_001	/mnt/nvme0/jiacheng/CharlottetownWater/202002-test-water/Site1-dep_S1_L001_R2_001_fastqc.zip
FastQC	all_sections	Site3-dep_S2_L001_R2_001	/mnt/nvme0/jiacheng/CharlottetownWater/202002-test-water/Site3-dep_S2_L001_R2_001_fastqc.zip
FastQC	all_sections	6S1_S1_run2_L001_R1_001	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/6S1_S1_run2_L001_R1_001_fastqc.zip
FastQC	all_sections	6S2_S2_run1_L001_R1_001	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/6S2_S2_run1_L001_R1_001_fastqc.zip
