Sample	Skewer_mqc-generalstats-skewer-pct_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
6S1_S1_run1_L001_R1_001	70.0964794258					
6S1_S1_run1_L001_R1_001.trim		4.21335526788	172.176205008	2892222.0	27.2727272727	45.0
6S1_S1_run1_L001_R2_001.trim		3.52872441244	140.119997358	2892222.0	27.2727272727	44.0
6S1_S1_run2_L001_R1_001	76.1794491551					
6S1_S1_run2_L001_R1_001.trim		4.52337207811	193.314795979	3554121.0	27.2727272727	46.0
6S1_S1_run2_L001_R2_001.trim		4.02344542559	153.262508789	3554121.0	27.2727272727	45.0
6S2_S2_run1_L001_R1_001	71.6170732582					
6S2_S2_run1_L001_R1_001.trim		1.11361343611	168.363276451	3208105.0	18.1818181818	49.0
6S2_S2_run1_L001_R2_001.trim		0.939383580603	133.5955681	3208105.0	27.2727272727	49.0
6S2_S2_run2_L001_R1_001	77.6172616765					
6S2_S2_run2_L001_R1_001.trim		1.92580245891	186.939057293	7129680.0	18.1818181818	50.0
6S2_S2_run2_L001_R2_001.trim		1.64228763736	144.939535996	7129680.0	27.2727272727	49.0
6S3_S3_run1_L001_R1_001	67.8929855754					
6S3_S3_run1_L001_R1_001.trim		1.49682407497	172.297460122	3359768.0	27.2727272727	48.0
6S3_S3_run1_L001_R2_001.trim		1.22488681639	137.610293627	3359768.0	27.2727272727	47.0
6S3_S3_run2_L001_R1_001	74.0997502295					
6S3_S3_run2_L001_R1_001.trim		1.88792326618	192.622656492	5018332.0	27.2727272727	49.0
6S3_S3_run2_L001_R2_001.trim		1.61631243706	149.363275885	5018332.0	27.2727272727	48.0
6S4_S4_run1_L001_R1_001	66.1540886273					
6S4_S4_run1_L001_R1_001.trim		0.698651849488	168.681542965	2037402.0	18.1818181818	49.0
6S4_S4_run1_L001_R2_001.trim		0.563477588416	129.902978892	2037402.0	27.2727272727	48.0
6S4_S4_run2_L001_R1_001	74.2490971881					
6S4_S4_run2_L001_R1_001.trim		0.637651098174	184.251257356	2595924.0	9.09090909091	50.0
6S4_S4_run2_L001_R2_001.trim		0.541676348531	142.568835605	2595924.0	18.1818181818	49.0
BL_S5_run1_L001_R1_001	70.8017188313					
BL_S5_run1_L001_R1_001.trim		7.70263048399	161.597447109	3911173.0	18.1818181818	46.0
BL_S5_run1_L001_R2_001.trim		6.54760628131	131.842342182	3911173.0	18.1818181818	46.0
BL_S5_run2_L001_R1_001	76.3086128037					
BL_S5_run2_L001_R1_001.trim		7.76669497494	184.275563139	4280783.0	18.1818181818	47.0
BL_S5_run2_L001_R2_001.trim		6.87584697146	145.15773306	4280783.0	18.1818181818	46.0
Undetermined_S0_run1_L001_R1_001	56.9891603408					
Undetermined_S0_run1_L001_R1_001.trim		0.383159690963	171.920107122	612758.0	27.2727272727	47.0
Undetermined_S0_run1_L001_R2_001.trim		0.254162163785	131.859846791	612758.0	18.1818181818	46.0
Undetermined_S0_run2_L001_R1_001	43.3695808123					
Undetermined_S0_run2_L001_R1_001.trim		29.1222755484	210.391795423	429492.0	18.1818181818	47.0
Undetermined_S0_run2_L001_R2_001.trim		26.2922949594	155.839058702	429492.0	27.2727272727	47.0
