Module	Section	Sample Name	Source
FastQC	all_sections	6S2_S2_run1_L001_R1_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/trimmed/6S2_S2_run1_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	6S2_S2_run1_L001_R2_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/trimmed/6S2_S2_run1_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	6S4_S4_run2_L001_R2_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/trimmed/6S4_S4_run2_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	6S3_S3_run1_L001_R1_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/trimmed/6S3_S3_run1_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	BL_S5_run1_L001_R1_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/trimmed/BL_S5_run1_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	6S1_S1_run2_L001_R2_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/trimmed/6S1_S1_run2_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	6S4_S4_run1_L001_R1_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/trimmed/6S4_S4_run1_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	Undetermined_S0_run2_L001_R1_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/trimmed/Undetermined_S0_run2_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	BL_S5_run2_L001_R2_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/trimmed/BL_S5_run2_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	6S1_S1_run2_L001_R1_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/trimmed/6S1_S1_run2_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	6S4_S4_run2_L001_R1_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/trimmed/6S4_S4_run2_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	6S1_S1_run1_L001_R2_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/trimmed/6S1_S1_run1_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	Undetermined_S0_run2_L001_R2_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/trimmed/Undetermined_S0_run2_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	6S3_S3_run2_L001_R2_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/trimmed/6S3_S3_run2_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	BL_S5_run1_L001_R2_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/trimmed/BL_S5_run1_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	Undetermined_S0_run1_L001_R2_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/trimmed/Undetermined_S0_run1_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	6S3_S3_run2_L001_R1_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/trimmed/6S3_S3_run2_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	6S4_S4_run1_L001_R2_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/trimmed/6S4_S4_run1_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	6S3_S3_run1_L001_R2_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/trimmed/6S3_S3_run1_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	Undetermined_S0_run1_L001_R1_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/trimmed/Undetermined_S0_run1_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	6S2_S2_run2_L001_R2_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/trimmed/6S2_S2_run2_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	6S2_S2_run2_L001_R1_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/trimmed/6S2_S2_run2_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	6S1_S1_run1_L001_R1_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/trimmed/6S1_S1_run1_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	BL_S5_run2_L001_R1_001.trim	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/trimmed/BL_S5_run2_L001_R1_001.trim_fastqc.zip
Skewer	all_sections	BL_S5_run1_L001_R1_001	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/trimmed/BL_S5_run1_L001-trimmed.log
Skewer	all_sections	BL_S5_run2_L001_R1_001	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/trimmed/BL_S5_run2_L001-trimmed.log
Skewer	all_sections	6S4_S4_run1_L001_R1_001	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/trimmed/6S4_S4_run1_L001-trimmed.log
Skewer	all_sections	Undetermined_S0_run2_L001_R1_001	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/trimmed/Undetermined_S0_run2_L001-trimmed.log
Skewer	all_sections	6S1_S1_run2_L001_R1_001	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/trimmed/6S1_S1_run2_L001-trimmed.log
Skewer	all_sections	6S1_S1_run1_L001_R1_001	/mnt/nvme0/jiacheng/CharlottetownWater/202006-first-run/trimmed/6S1_S1_run1_L001-trimmed.log
Skewer	all_sections	6S3_S3_run2_L001_R1_001	/mnt/nvme0/jiacheng/CharlottetownWater/202006-second-run/trimmed/6S3_S3_run2_L001-trimmed.log
